,Experience,Qualifications,Salary Range,Country,Work Type,Company Size,Preference,Job Title,Role,Job Description,skills,Responsibilities
590,1 to 9 Years,PhD,$55K-$92K,"Bahamas, The",Temporary,120041,Both,Sales Consultant,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,"Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
591,0 to 8 Years,BA,$65K-$105K,South Africa,Intern,131528,Female,Sales Consultant,Sales Trainer,"Sales Trainers develop and deliver training programs to sales teams. They teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.",Sales training Sales coaching Training program development Sales techniques Product knowledge Presentation skills,Train and onboard new sales team members. Develop training materials and sales scripts. Conduct sales coaching and performance evaluations.
592,5 to 11 Years,M.Com,$59K-$129K,Iceland,Full-Time,92515,Both,Sales Consultant,B2B Sales Consultant,"B2B Sales Consultants specialize in business-to-business sales. They identify and target potential corporate clients, negotiate contracts, and build long-term relationships to drive sales growth in the B2B market.",B2B sales Business-to-business sales strategies Lead generation Sales negotiations Client relationship building Market research,"Specialize in business-to-business (B2B) sales, targeting corporate clients. Build and maintain long-term relationships with key clients. Negotiate and close complex sales deals."
593,2 to 15 Years,BA,$65K-$111K,Syrian Arab Republic,Contract,119551,Both,Sales Consultant,Sales Trainer,"Sales Trainers develop and deliver training programs to sales teams. They teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.",Sales training Sales coaching Training program development Sales techniques Product knowledge Presentation skills,Train and onboard new sales team members. Develop training materials and sales scripts. Conduct sales coaching and performance evaluations.
594,0 to 10 Years,PhD,$59K-$119K,"Macedonia, FYR",Intern,131375,Female,Sales Consultant,Sales Trainer,"Sales Trainers develop and deliver training programs to sales teams. They teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.",Sales training Sales coaching Training program development Sales techniques Product knowledge Presentation skills,Train and onboard new sales team members. Develop training materials and sales scripts. Conduct sales coaching and performance evaluations.
595,3 to 15 Years,MBA,$65K-$101K,Faroe Islands,Intern,24458,Both,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition.
596,5 to 10 Years,BA,$56K-$84K,Namibia,Part-Time,93382,Female,Sales Manager,Key Account Manager,"Manage key client accounts, build strong relationships, and drive revenue growth.",Key account management Relationship building Sales negotiation,Build and maintain relationships with key clients. Develop account strategies and negotiate contracts. Ensure client satisfaction and retention.
597,2 to 15 Years,BA,$63K-$88K,China,Contract,114664,Male,Sales Manager,Key Account Manager,"Manage key client accounts, build strong relationships, and drive revenue growth.",Key account management Relationship building Sales negotiation,Build and maintain relationships with key clients. Develop account strategies and negotiate contracts. Ensure client satisfaction and retention.
598,5 to 8 Years,MBA,$64K-$88K,Syrian Arab Republic,Part-Time,54394,Male,Sales Manager,Sales Team Leader,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.",Sales leadership Team management Sales strategy and planning,"Lead and manage a team of sales representatives. Set sales targets and goals. Provide coaching, training, and performance evaluations."
599,5 to 14 Years,PhD,$59K-$107K,West Bank and Gaza,Intern,31796,Female,Sales Manager,Regional Sales Director,"Oversee sales operations within a specific region, develop sales plans, and manage regional sales teams.",Sales strategy development Territory management Sales team leadership,Oversee sales activities and strategy for a specific geographic region. Develop sales plans and objectives. Analyze regional market trends and competition.
600,0 to 10 Years,MBA,$62K-$97K,British Virgin Islands,Part-Time,43876,Female,Sales Representative,Account Executive,"Account Executives manage and grow relationships with existing clients or customers. They understand client needs, propose solutions, negotiate contracts, and ensure customer satisfaction, often working closely with sales and customer support teams.",Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting,"Manage client accounts, negotiate contracts, and achieve revenue targets by selling products or services. Provide ongoing support and solutions to clients. Collaborate with cross-functional teams to meet client needs."
